query,query_status,hub,locality,intent,target_path,section_fragment,supporting_service,coverage_evidence,monthly_search_volume,volume_status
man and van culloden,inferred_variant,inverness,Culloden,Small-load moving,/areas/inverness,inverness-culloden,/services/man-and-van,Owner confirmation in conversation on 2026-09-23; dates and access assessed per job,,unavailable_not_zero
furniture delivery culloden,inferred_variant,inverness,Culloden,Furniture collection and delivery,/areas/inverness,inverness-culloden,/services/furniture-delivery,Owner confirmation in conversation on 2026-09-23; dates and access assessed per job,,unavailable_not_zero
house removals culloden,inferred_variant,inverness,Culloden,Whole-home moving,/areas/inverness,inverness-culloden,/services/house-removal,Owner confirmation in conversation on 2026-09-23; dates and access assessed per job,,unavailable_not_zero
man and van smithton,inferred_variant,inverness,Smithton,Small-load moving,/areas/inverness,inverness-smithton,/services/man-and-van,Owner confirmation in conversation on 2026-09-23; dates and access assessed per job,,unavailable_not_zero
furniture delivery smithton,inferred_variant,inverness,Smithton,Furniture collection and delivery,/areas/inverness,inverness-smithton,/services/furniture-delivery,Owner confirmation in conversation on 2026-09-23; dates and access assessed per job,,unavailable_not_zero
house removals smithton,inferred_variant,inverness,Smithton,Whole-home moving,/areas/inverness,inverness-smithton,/services/house-removal,Owner confirmation in conversation on 2026-09-23; dates and access assessed per job,,unavailable_not_zero
man and van balloch,inferred_variant,inverness,Balloch,Small-load moving,/areas/inverness,inverness-balloch,/services/man-and-van,Owner confirmation in conversation on 2026-09-23; dates and access assessed per job,,unavailable_not_zero
furniture delivery balloch,inferred_variant,inverness,Balloch,Furniture collection and delivery,/areas/inverness,inverness-balloch,/services/furniture-delivery,Owner confirmation in conversation on 2026-09-23; dates and access assessed per job,,unavailable_not_zero
house removals balloch,inferred_variant,inverness,Balloch,Whole-home moving,/areas/inverness,inverness-balloch,/services/house-removal,Owner confirmation in conversation on 2026-09-23; dates and access assessed per job,,unavailable_not_zero
man and van ardersier,inferred_variant,inverness,Ardersier,Small-load moving,/areas/inverness,inverness-ardersier,/services/man-and-van,Owner confirmation in conversation on 2026-09-23; dates and access assessed per job,,unavailable_not_zero
furniture delivery ardersier,inferred_variant,inverness,Ardersier,Furniture collection and delivery,/areas/inverness,inverness-ardersier,/services/furniture-delivery,Owner confirmation in conversation on 2026-09-23; dates and access assessed per job,,unavailable_not_zero
house removals ardersier,inferred_variant,inverness,Ardersier,Whole-home moving,/areas/inverness,inverness-ardersier,/services/house-removal,Owner confirmation in conversation on 2026-09-23; dates and access assessed per job,,unavailable_not_zero
man and van croy,inferred_variant,inverness,Croy,Small-load moving,/areas/inverness,inverness-croy,/services/man-and-van,Owner confirmation in conversation on 2026-09-23; dates and access assessed per job,,unavailable_not_zero
furniture delivery croy,inferred_variant,inverness,Croy,Furniture collection and delivery,/areas/inverness,inverness-croy,/services/furniture-delivery,Owner confirmation in conversation on 2026-09-23; dates and access assessed per job,,unavailable_not_zero
house removals croy,inferred_variant,inverness,Croy,Whole-home moving,/areas/inverness,inverness-croy,/services/house-removal,Owner confirmation in conversation on 2026-09-23; dates and access assessed per job,,unavailable_not_zero
man and van nairn,inferred_variant,inverness,Nairn,Small-load moving,/areas/nairn,,/services/man-and-van,Owner confirmation in conversation on 2026-09-23; dates and access assessed per job,,unavailable_not_zero
furniture delivery nairn,inferred_variant,inverness,Nairn,Furniture collection and delivery,/areas/nairn,,/services/furniture-delivery,Owner confirmation in conversation on 2026-09-23; dates and access assessed per job,,unavailable_not_zero
house removals nairn,inferred_variant,inverness,Nairn,Whole-home moving,/areas/nairn,,/services/house-removal,Owner confirmation in conversation on 2026-09-23; dates and access assessed per job,,unavailable_not_zero
man and van beauly,inferred_variant,inverness,Beauly,Small-load moving,/areas/inverness,inverness-beauly,/services/man-and-van,Owner confirmation in conversation on 2026-09-23; dates and access assessed per job,,unavailable_not_zero
furniture delivery beauly,inferred_variant,inverness,Beauly,Furniture collection and delivery,/areas/inverness,inverness-beauly,/services/furniture-delivery,Owner confirmation in conversation on 2026-09-23; dates and access assessed per job,,unavailable_not_zero
house removals beauly,inferred_variant,inverness,Beauly,Whole-home moving,/areas/inverness,inverness-beauly,/services/house-removal,Owner confirmation in conversation on 2026-09-23; dates and access assessed per job,,unavailable_not_zero
man and van muir of ord,inferred_variant,inverness,Muir of Ord,Small-load moving,/areas/inverness,inverness-muir-of-ord,/services/man-and-van,Owner confirmation in conversation on 2026-09-23; dates and access assessed per job,,unavailable_not_zero
furniture delivery muir of ord,inferred_variant,inverness,Muir of Ord,Furniture collection and delivery,/areas/inverness,inverness-muir-of-ord,/services/furniture-delivery,Owner confirmation in conversation on 2026-09-23; dates and access assessed per job,,unavailable_not_zero
house removals muir of ord,inferred_variant,inverness,Muir of Ord,Whole-home moving,/areas/inverness,inverness-muir-of-ord,/services/house-removal,Owner confirmation in conversation on 2026-09-23; dates and access assessed per job,,unavailable_not_zero
man and van conon bridge,inferred_variant,inverness,Conon Bridge,Small-load moving,/areas/inverness,inverness-conon-bridge,/services/man-and-van,Owner confirmation in conversation on 2026-09-23; dates and access assessed per job,,unavailable_not_zero
furniture delivery conon bridge,inferred_variant,inverness,Conon Bridge,Furniture collection and delivery,/areas/inverness,inverness-conon-bridge,/services/furniture-delivery,Owner confirmation in conversation on 2026-09-23; dates and access assessed per job,,unavailable_not_zero
house removals conon bridge,inferred_variant,inverness,Conon Bridge,Whole-home moving,/areas/inverness,inverness-conon-bridge,/services/house-removal,Owner confirmation in conversation on 2026-09-23; dates and access assessed per job,,unavailable_not_zero
man and van dingwall,inferred_variant,inverness,Dingwall,Small-load moving,/areas/dingwall,,/services/man-and-van,Owner confirmation in conversation on 2026-09-23; dates and access assessed per job,,unavailable_not_zero
furniture delivery dingwall,inferred_variant,inverness,Dingwall,Furniture collection and delivery,/areas/dingwall,,/services/furniture-delivery,Owner confirmation in conversation on 2026-09-23; dates and access assessed per job,,unavailable_not_zero
house removals dingwall,inferred_variant,inverness,Dingwall,Whole-home moving,/areas/dingwall,,/services/house-removal,Owner confirmation in conversation on 2026-09-23; dates and access assessed per job,,unavailable_not_zero
man and van drumnadrochit,inferred_variant,inverness,Drumnadrochit,Small-load moving,/areas/inverness,inverness-drumnadrochit,/services/man-and-van,Owner confirmation in conversation on 2026-09-23; dates and access assessed per job,,unavailable_not_zero
furniture delivery drumnadrochit,inferred_variant,inverness,Drumnadrochit,Furniture collection and delivery,/areas/inverness,inverness-drumnadrochit,/services/furniture-delivery,Owner confirmation in conversation on 2026-09-23; dates and access assessed per job,,unavailable_not_zero
house removals drumnadrochit,inferred_variant,inverness,Drumnadrochit,Whole-home moving,/areas/inverness,inverness-drumnadrochit,/services/house-removal,Owner confirmation in conversation on 2026-09-23; dates and access assessed per job,,unavailable_not_zero
man and van balmedie,inferred_variant,aberdeen,Balmedie,Small-load moving,/areas/aberdeen,aberdeen-balmedie,/services/man-and-van,Owner confirmation in conversation on 2026-09-23; dates and access assessed per job,,unavailable_not_zero
furniture delivery balmedie,inferred_variant,aberdeen,Balmedie,Furniture collection and delivery,/areas/aberdeen,aberdeen-balmedie,/services/furniture-delivery,Owner confirmation in conversation on 2026-09-23; dates and access assessed per job,,unavailable_not_zero
house removals balmedie,inferred_variant,aberdeen,Balmedie,Whole-home moving,/areas/aberdeen,aberdeen-balmedie,/services/house-removal,Owner confirmation in conversation on 2026-09-23; dates and access assessed per job,,unavailable_not_zero
man and van ellon,inferred_variant,aberdeen,Ellon,Small-load moving,/areas/ellon,,/services/man-and-van,Owner confirmation in conversation on 2026-09-23; dates and access assessed per job,,unavailable_not_zero
furniture delivery ellon,inferred_variant,aberdeen,Ellon,Furniture collection and delivery,/areas/ellon,,/services/furniture-delivery,Owner confirmation in conversation on 2026-09-23; dates and access assessed per job,,unavailable_not_zero
house removals ellon,inferred_variant,aberdeen,Ellon,Whole-home moving,/areas/ellon,,/services/house-removal,Owner confirmation in conversation on 2026-09-23; dates and access assessed per job,,unavailable_not_zero
man and van newmachar,inferred_variant,aberdeen,Newmachar,Small-load moving,/areas/aberdeen,aberdeen-newmachar,/services/man-and-van,Owner confirmation in conversation on 2026-09-23; dates and access assessed per job,,unavailable_not_zero
furniture delivery newmachar,inferred_variant,aberdeen,Newmachar,Furniture collection and delivery,/areas/aberdeen,aberdeen-newmachar,/services/furniture-delivery,Owner confirmation in conversation on 2026-09-23; dates and access assessed per job,,unavailable_not_zero
house removals newmachar,inferred_variant,aberdeen,Newmachar,Whole-home moving,/areas/aberdeen,aberdeen-newmachar,/services/house-removal,Owner confirmation in conversation on 2026-09-23; dates and access assessed per job,,unavailable_not_zero
man and van oldmeldrum,inferred_variant,aberdeen,Oldmeldrum,Small-load moving,/areas/aberdeen,aberdeen-oldmeldrum,/services/man-and-van,Owner confirmation in conversation on 2026-09-23; dates and access assessed per job,,unavailable_not_zero
furniture delivery oldmeldrum,inferred_variant,aberdeen,Oldmeldrum,Furniture collection and delivery,/areas/aberdeen,aberdeen-oldmeldrum,/services/furniture-delivery,Owner confirmation in conversation on 2026-09-23; dates and access assessed per job,,unavailable_not_zero
house removals oldmeldrum,inferred_variant,aberdeen,Oldmeldrum,Whole-home moving,/areas/aberdeen,aberdeen-oldmeldrum,/services/house-removal,Owner confirmation in conversation on 2026-09-23; dates and access assessed per job,,unavailable_not_zero
man and van blackburn,inferred_variant,aberdeen,Blackburn,Small-load moving,/areas/aberdeen,aberdeen-blackburn,/services/man-and-van,Owner confirmation in conversation on 2026-09-23; dates and access assessed per job,,unavailable_not_zero
furniture delivery blackburn,inferred_variant,aberdeen,Blackburn,Furniture collection and delivery,/areas/aberdeen,aberdeen-blackburn,/services/furniture-delivery,Owner confirmation in conversation on 2026-09-23; dates and access assessed per job,,unavailable_not_zero
house removals blackburn,inferred_variant,aberdeen,Blackburn,Whole-home moving,/areas/aberdeen,aberdeen-blackburn,/services/house-removal,Owner confirmation in conversation on 2026-09-23; dates and access assessed per job,,unavailable_not_zero
man and van kintore,inferred_variant,aberdeen,Kintore,Small-load moving,/areas/aberdeen,aberdeen-kintore,/services/man-and-van,Owner confirmation in conversation on 2026-09-23; dates and access assessed per job,,unavailable_not_zero
furniture delivery kintore,inferred_variant,aberdeen,Kintore,Furniture collection and delivery,/areas/aberdeen,aberdeen-kintore,/services/furniture-delivery,Owner confirmation in conversation on 2026-09-23; dates and access assessed per job,,unavailable_not_zero
house removals kintore,inferred_variant,aberdeen,Kintore,Whole-home moving,/areas/aberdeen,aberdeen-kintore,/services/house-removal,Owner confirmation in conversation on 2026-09-23; dates and access assessed per job,,unavailable_not_zero
man and van inverurie,inferred_variant,aberdeen,Inverurie,Small-load moving,/areas/inverurie,,/services/man-and-van,Owner confirmation in conversation on 2026-09-23; dates and access assessed per job,,unavailable_not_zero
furniture delivery inverurie,inferred_variant,aberdeen,Inverurie,Furniture collection and delivery,/areas/inverurie,,/services/furniture-delivery,Owner confirmation in conversation on 2026-09-23; dates and access assessed per job,,unavailable_not_zero
house removals inverurie,inferred_variant,aberdeen,Inverurie,Whole-home moving,/areas/inverurie,,/services/house-removal,Owner confirmation in conversation on 2026-09-23; dates and access assessed per job,,unavailable_not_zero
man and van westhill,inferred_variant,aberdeen,Westhill,Small-load moving,/areas/westhill,,/services/man-and-van,Owner confirmation in conversation on 2026-09-23; dates and access assessed per job,,unavailable_not_zero
furniture delivery westhill,inferred_variant,aberdeen,Westhill,Furniture collection and delivery,/areas/westhill,,/services/furniture-delivery,Owner confirmation in conversation on 2026-09-23; dates and access assessed per job,,unavailable_not_zero
house removals westhill,inferred_variant,aberdeen,Westhill,Whole-home moving,/areas/westhill,,/services/house-removal,Owner confirmation in conversation on 2026-09-23; dates and access assessed per job,,unavailable_not_zero
man and van peterculter,inferred_variant,aberdeen,Peterculter,Small-load moving,/areas/aberdeen,aberdeen-peterculter,/services/man-and-van,Owner confirmation in conversation on 2026-09-23; dates and access assessed per job,,unavailable_not_zero
furniture delivery peterculter,inferred_variant,aberdeen,Peterculter,Furniture collection and delivery,/areas/aberdeen,aberdeen-peterculter,/services/furniture-delivery,Owner confirmation in conversation on 2026-09-23; dates and access assessed per job,,unavailable_not_zero
house removals peterculter,inferred_variant,aberdeen,Peterculter,Whole-home moving,/areas/aberdeen,aberdeen-peterculter,/services/house-removal,Owner confirmation in conversation on 2026-09-23; dates and access assessed per job,,unavailable_not_zero
man and van portlethen,inferred_variant,aberdeen,Portlethen,Small-load moving,/areas/aberdeen,aberdeen-portlethen,/services/man-and-van,Owner confirmation in conversation on 2026-09-23; dates and access assessed per job,,unavailable_not_zero
furniture delivery portlethen,inferred_variant,aberdeen,Portlethen,Furniture collection and delivery,/areas/aberdeen,aberdeen-portlethen,/services/furniture-delivery,Owner confirmation in conversation on 2026-09-23; dates and access assessed per job,,unavailable_not_zero
house removals portlethen,inferred_variant,aberdeen,Portlethen,Whole-home moving,/areas/aberdeen,aberdeen-portlethen,/services/house-removal,Owner confirmation in conversation on 2026-09-23; dates and access assessed per job,,unavailable_not_zero
man and van newtonhill,inferred_variant,aberdeen,Newtonhill,Small-load moving,/areas/aberdeen,aberdeen-newtonhill,/services/man-and-van,Owner confirmation in conversation on 2026-09-23; dates and access assessed per job,,unavailable_not_zero
furniture delivery newtonhill,inferred_variant,aberdeen,Newtonhill,Furniture collection and delivery,/areas/aberdeen,aberdeen-newtonhill,/services/furniture-delivery,Owner confirmation in conversation on 2026-09-23; dates and access assessed per job,,unavailable_not_zero
house removals newtonhill,inferred_variant,aberdeen,Newtonhill,Whole-home moving,/areas/aberdeen,aberdeen-newtonhill,/services/house-removal,Owner confirmation in conversation on 2026-09-23; dates and access assessed per job,,unavailable_not_zero
man and van stonehaven,inferred_variant,aberdeen,Stonehaven,Small-load moving,/areas/stonehaven,,/services/man-and-van,Owner confirmation in conversation on 2026-09-23; dates and access assessed per job,,unavailable_not_zero
furniture delivery stonehaven,inferred_variant,aberdeen,Stonehaven,Furniture collection and delivery,/areas/stonehaven,,/services/furniture-delivery,Owner confirmation in conversation on 2026-09-23; dates and access assessed per job,,unavailable_not_zero
house removals stonehaven,inferred_variant,aberdeen,Stonehaven,Whole-home moving,/areas/stonehaven,,/services/house-removal,Owner confirmation in conversation on 2026-09-23; dates and access assessed per job,,unavailable_not_zero
